"ID","KODE_SATUAN","URAIAN_SATUAN"
"5775","KHZ","KILOHERTZ"
"6638","KHY","KILOGRAM OF HYDROGEN PEROXIDE"
"5767","KGS","KILOGRAM PER SECOND"
"5541","KGM","KILOGRAM"
"6637","KG","KEG"
"6636","KF","KILOPACKET"
"5539","KEL","KELVIN"
"6635","KDW","KILOGRAM DRAINED NET WEIGHT"
"6634","KD","KILOGRAM DECIMAL"
"6633","KCC","KILOGRAM OF CHOLINE CHLORIDE"
"5540","KBA","KILOBAR"
"6632","KB","KILOCHARACTER"
"5774","KAT","KATAL"
"6631","KA","CAKE"
"6630","K99","QUART (US LIQUID) PER HOUR"
"6629","K98","QUART (US LIQUID) PER DAY"
"6628","K97","QUART (UK LIQUID) PER SECOND"
"6627","K96","QUART (UK LIQUID) PER MINUTE"
"6626","K95","QUART (UK LIQUID) PER HOUR"
"6625","K94","QUART (UK LIQUID) PER DAY"
"6624","K93","RECIPROCAL PSI"
"6623","K92","POUND-FORCE SECOND PER SQUARE INCH"
"6622","K91","POUND-FORCE SECOND PER SQUARE FOOT"
"6621","K90","PSI CUBIC YARD PER SECOND"
"6620","K89","PSI CUBIC METRE PER SECOND"
"6619","K88","PSI LITRE PER SECOND"
"6618","K87","PSI CUBIC INCH PER SECOND"
"6617","K86","POUND-FORCE PER SQUARE INCH DEGREE FAHRENHEIT"
"6616","K85","POUND-FORCE PER SQUARE FOOT"
"6615","K84","POUND PER CUBIC YARD"
"6614","K83","POUND (AVOIRDUPOIS) PER SECOND PSI"
"6613","K82","POUND (AVOIRDUPOIS) PER SECOND DEGREE FAHRENHEIT"
"6612","K81","POUND (AVOIRDUPOIS) PER SECOND"
"6611","K80","POUND (AVOIRDUPOIS) PER MINUTE PSI"
"6610","K79","POUND (AVOIRDUPOIS) PER MINUTE DEGREE FAHRENHEIT"
"6609","K78","POUND (AVOIRDUPOIS) PER MINUTE"
"6608","K77","POUND (AVOIRDUPOIS) PER PSI"
